"grouping";"min";"new_geom"
8;12;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.54137,41.72446 -87.54137,41.72882 -87.5351,41.75392 -87.5251,41.75892 -87.5251,41.69392 -87.52689,41.67785 -87.5301,41.64892 -87.53636,41.67187 -87.5363,41.67424 -87.53626,41.67448 -87.53564,41.67681 -87.53537,41.67727 -87.53411,41.67853 -87.53366,41.67898 -87.53072,41.69125 -87.53722,41.69604 -87.53913,41.69412 -87.5396,41.69385 -87.54217,41.69316 -87.5451,41.70392 -87.5451,41.71392 -87.54265,41.72372 -87.5424,41.72473 -87.54238,41.72473 -87.54137,41.72446</coordinates></LinearRing></outerBoundaryIs></Polygon>"
11;12;"<Point><coordinates>-87.5301,41.67892</coordinates></Point>"
12;12;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.74146,41.74348 -87.7657,41.77741 -87.78983,41.77259 -87.7901,41.77256 -87.79912,41.77256 -87.8001,41.77392 -87.80146,41.78189 -87.80146,41.79392 -87.80106,41.79488 -87.79651,41.79943 -87.80642,41.90845 -87.82623,41.93817 -87.82646,41.93892 -87.82646,41.9487 -87.83359,41.9701 -87.8351,41.97892 -87.8351,41.98392 -87.83222,41.98873 -87.82146,41.99948 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.8086,42.01422 -87.78488,42.01026 -87.78477,42.01024 -87.76477,42.00524 -87.76473,42.00523 -87.7305,41.99545 -87.70711,42.01883 -87.7051,42.01892 -87.6651,42.01892 -87.65901,42.00719 -87.66373,41.97889 -87.65375,41.89408 -87.65378,41.89361 -87.67268,41.81326 -87.65606,41.82988 -87.6551,41.83028 -87.63527,41.83028 -87.61543,41.83524 -87.6151,41.83528 -87.6101,41.83528 -87.60901,41.83474 -87.59401,41.81474 -87.57901,41.79474 -87.57888,41.79453 -87.56906,41.77488 -87.54472,41.76028 -87.53081,41.76028 -87.5301,41.75892 -87.52874,41.73988 -87.52874,41.71405 -87.52587,41.69971 -87.5251,41.68892 -87.5251,41.64892 -87.6151,41.64892 -87.62862,41.65286 -87.64061,41.65766 -87.64092,41.65783 -87.66067,41.67265 -87.68537,41.67759 -87.71023,41.68256 -87.73044,41.68256 -87.7351,41.68392 -87.73597,41.68512 -87.72171,41.70888 -87.74123,41.73817 -87.74146,41.73892 -87.74146,41.74348</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;15;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;15;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;15;"<LineString><coordinates>-87.5351,41.69892 -87.5351,41.70392</coordinates></LineString>"
10;15;"<Point><coordinates>-87.5251,41.75892</coordinates></Point>"
11;15;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.7401,41.73756 -87.74106,41.73796 -87.74146,41.73892 -87.74146,41.753 -87.79036,41.77256 -87.79912,41.77256 -87.8001,41.77392 -87.80074,41.77766 -87.79647,41.79899 -87.80642,41.90845 -87.82623,41.93817 -87.82646,41.93892 -87.82646,41.94381 -87.83137,41.97327 -87.8347,41.9766 -87.8351,41.97892 -87.8351,41.98392 -87.83222,41.98873 -87.82146,41.99948 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.8086,42.01422 -87.78488,42.01026 -87.78477,42.01024 -87.76477,42.00524 -87.76467,42.00521 -87.73539,41.99545 -87.70735,42.01882 -87.7051,42.01892 -87.6651,42.01892 -87.65924,42.00782 -87.6786,41.98361 -87.65379,41.89428 -87.65376,41.89371 -87.6681,41.80284 -87.66606,41.80488 -87.66483,41.80525 -87.64019,41.80032 -87.61097,41.81006 -87.60123,41.82467 -87.60048,41.82522 -87.59956,41.82517 -87.59888,41.82453 -87.58892,41.8046 -87.56914,41.77493 -87.54472,41.76028 -87.5301,41.76028 -87.52914,41.75988 -87.52725,41.758 -87.5251,41.75392 -87.5251,41.64892 -87.6151,41.64892 -87.62862,41.65286 -87.64061,41.65766 -87.64092,41.65783 -87.66067,41.67265 -87.68532,41.67758 -87.72518,41.68256 -87.73044,41.68256 -87.7351,41.68392 -87.73597,41.68512 -87.72165,41.70898 -87.73594,41.73756 -87.7401,41.73756</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;18;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;18;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;18;"<LineString><coordinates>-87.5351,41.66392 -87.5351,41.67892</coordinates></LineString>"
10;18;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.7401,41.73756 -87.74106,41.73796 -87.74146,41.73892 -87.74146,41.753 -87.79036,41.77256 -87.79912,41.77256 -87.8001,41.77392 -87.80038,41.77556 -87.78653,41.78941 -87.80139,41.91329 -87.80606,41.91796 -87.82606,41.93796 -87.82645,41.93873 -87.83138,41.97328 -87.8347,41.9766 -87.8351,41.97892 -87.8351,41.98392 -87.83222,41.98873 -87.82146,41.99948 -87.82146,42.00665 -87.8201,42.00892 -87.8151,42.01392 -87.7051,42.01892 -87.6751,42.01892 -87.67356,42.01626 -87.65874,41.78901 -87.65874,41.78892 -87.65874,41.78555 -87.60534,41.79526 -87.6051,41.79528 -87.5951,41.79528 -87.59449,41.79514 -87.52633,41.76106 -87.5251,41.75892 -87.5251,41.64892 -87.6151,41.64892 -87.64607,41.65795 -87.67065,41.67762 -87.71018,41.68256 -87.73044,41.68256 -87.7351,41.68392 -87.73646,41.6858 -87.73646,41.68892 -87.73619,41.68974 -87.72146,41.70937 -87.72146,41.73756 -87.7401,41.73756</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;21;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;21;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
