name,latitude,longitude,weight,type
294,41.94392,-87.7851,1404,potential
295,41.94892,-87.7851,1364,potential
296,41.95392,-87.7851,1311,potential
297,41.95892,-87.7851,1336,potential
298,41.96392,-87.7851,1325,potential
299,41.96892,-87.7851,1291,potential
300,41.97392,-87.7851,1240,potential
301,41.97892,-87.7851,1232,potential
302,41.98392,-87.7851,1258,potential
303,41.98892,-87.7851,1342,potential
304,41.99392,-87.7851,1342,potential
305,41.99892,-87.7851,1410,potential
306,42.00892,-87.7851,1472,potential
307,41.77892,-87.7801,1208,potential
308,41.78392,-87.7801,1145,potential
309,41.78892,-87.7801,1105,potential
310,41.79392,-87.7801,1013,potential
311,41.79892,-87.7801,948,potential
312,41.91392,-87.7801,1010,potential
313,41.91892,-87.7801,1039,potential
314,41.92392,-87.7801,1138,potential
315,41.92892,-87.7801,1170,potential
316,41.93392,-87.7801,1256,potential
317,41.93892,-87.7801,1326,potential
318,41.94392,-87.7801,1408,potential
319,41.94892,-87.7801,1334,potential
320,41.95392,-87.7801,1310,potential
321,41.95892,-87.7801,1276,potential
322,41.96392,-87.7801,1284,potential
323,41.96892,-87.7801,1205,potential
324,41.97392,-87.7801,1182,potential
325,41.97892,-87.7801,1228,potential
326,41.98392,-87.7801,1296,potential
327,41.98892,-87.7801,1288,potential
328,41.99392,-87.7801,1425,potential
329,41.99892,-87.7801,1298,potential
330,42.00392,-87.7801,1448,potential
331,42.00892,-87.7801,1514,potential
332,41.77892,-87.7751,1201,potential
333,41.78392,-87.7751,1112,potential
334,41.78892,-87.7751,1029,potential
335,41.79392,-87.7751,942,potential
336,41.79892,-87.7751,910,potential
337,41.89392,-87.7751,702,potential
338,41.89892,-87.7751,762,potential
339,41.90392,-87.7751,849,potential
340,41.90892,-87.7751,900,potential
341,41.91392,-87.7751,938,potential
342,41.91892,-87.7751,1034,potential
343,41.92392,-87.7751,1058,potential
344,41.92892,-87.7751,1134,potential
345,41.93392,-87.7751,1215,potential
346,41.93892,-87.7751,1268,potential
347,41.94392,-87.7751,1345,potential
348,41.94892,-87.7751,1281,potential
349,41.95392,-87.7751,1265,potential
350,41.95892,-87.7751,1240,potential
351,41.96392,-87.7751,1226,potential
352,41.96892,-87.7751,1195,potential
353,41.97392,-87.7751,1146,potential
354,41.97892,-87.7751,1181,potential
355,41.98392,-87.7751,1299,potential
356,41.98892,-87.7751,1323,potential
357,41.99392,-87.7751,1405,potential
358,41.99892,-87.7751,1276,potential
359,42.00392,-87.7751,1429,potential
360,42.00892,-87.7751,1464,potential
361,41.77892,-87.7701,1111,potential
362,41.78392,-87.7701,1096,potential
363,41.78892,-87.7701,1018,potential
364,41.79392,-87.7701,931,potential
365,41.79892,-87.7701,871,potential
366,41.86892,-87.7701,505,potential
367,41.87392,-87.7701,557,potential
368,41.87892,-87.7701,574,potential
369,41.88392,-87.7701,676,potential
370,41.88892,-87.7701,744,potential
371,41.89392,-87.7701,759,potential
372,41.89892,-87.7701,900,potential
373,41.90392,-87.7701,905,potential
374,41.90892,-87.7701,945,potential
375,41.91392,-87.7701,1006,potential
376,41.91892,-87.7701,1068,potential
377,41.92392,-87.7701,1060,potential
378,41.92892,-87.7701,1152,potential
379,41.93392,-87.7701,1236,potential
380,41.93892,-87.7701,1249,potential
381,41.94392,-87.7701,1334,potential
382,41.94892,-87.7701,1236,potential
383,41.95392,-87.7701,1224,potential
384,41.95892,-87.7701,1229,potential
385,41.96392,-87.7701,1167,potential
386,41.96892,-87.7701,1157,potential
387,41.97392,-87.7701,1145,potential
388,41.97892,-87.7701,1199,potential
389,41.98392,-87.7701,1221,potential
390,41.98892,-87.7701,1282,potential
391,41.99392,-87.7701,1307,potential
392,41.99892,-87.7701,1270,potential
393,42.00392,-87.7701,1364,potential
394,41.77892,-87.7651,1076,potential
395,41.78392,-87.7651,1015,potential
396,41.78892,-87.7651,1000,potential
397,41.79392,-87.7651,915,potential
398,41.79892,-87.7651,830,potential
399,41.86892,-87.7651,506,potential
400,41.87392,-87.7651,434,potential
401,41.87892,-87.7651,508,potential
402,41.88392,-87.7651,572,potential
403,41.88892,-87.7651,629,potential
404,41.89392,-87.7651,683,potential
405,41.89892,-87.7651,778,potential
406,41.90392,-87.7651,836,potential
407,41.90892,-87.7651,876,potential
408,41.91392,-87.7651,970,potential
409,41.91892,-87.7651,973,potential
410,41.92392,-87.7651,1156,potential
411,41.92892,-87.7651,1135,potential
412,41.93392,-87.7651,1217,potential
413,41.93892,-87.7651,1227,potential
414,41.94392,-87.7651,1294,potential
415,41.94892,-87.7651,1177,potential
416,41.95392,-87.7651,1092,potential
417,41.95892,-87.7651,1149,potential
418,41.96392,-87.7651,1142,potential
419,41.96892,-87.7651,1118,potential
420,41.97392,-87.7651,1159,potential
421,41.97892,-87.7651,1217,potential
422,41.98392,-87.7651,1196,potential
423,41.98892,-87.7651,1294,potential
424,41.99392,-87.7651,1214,potential
425,41.99892,-87.7651,1263,potential
426,42.00392,-87.7651,1352,potential
427,41.77892,-87.7601,1067,potential
428,41.78392,-87.7601,998,potential
429,41.78892,-87.7601,998,potential
430,41.79392,-87.7601,887,potential
431,41.79892,-87.7601,837,potential
432,41.86892,-87.7601,438,potential
433,41.87392,-87.7601,525,potential
434,41.87892,-87.7601,620,potential
435,41.88392,-87.7601,655,potential
436,41.88892,-87.7601,707,potential
437,41.89392,-87.7601,794,potential
438,41.89892,-87.7601,829,potential
439,41.90392,-87.7601,909,potential
440,41.90892,-87.7601,964,potential
441,41.91392,-87.7601,1043,potential
442,41.91892,-87.7601,1072,potential
443,41.92392,-87.7601,1112,potential
444,41.92892,-87.7601,1178,potential
445,41.93392,-87.7601,1268,potential
446,41.93892,-87.7601,1199,potential
447,41.94392,-87.7601,1253,potential
448,41.94892,-87.7601,1165,potential
449,41.95392,-87.7601,1120,potential
450,41.95892,-87.7601,1096,potential
451,41.96392,-87.7601,1126,potential
452,41.96892,-87.7601,1018,potential
453,41.97392,-87.7601,1138,potential
454,41.97892,-87.7601,1149,potential
455,41.98392,-87.7601,1337,potential
456,41.98892,-87.7601,1180,potential
457,41.99392,-87.7601,1184,potential
458,41.99892,-87.7601,1274,potential
459,41.77892,-87.7551,1107,potential
460,41.78392,-87.7551,1000,potential
461,41.78892,-87.7551,1007,potential
462,41.79392,-87.7551,960,potential
463,41.79892,-87.7551,921,potential
464,41.86892,-87.7551,368,potential
465,41.87392,-87.7551,558,potential
