latitude,longitude,weight,grouping,type
41.67892,-87.5451,3,14,trauma
41.75392,-87.5501,3,14,trauma
41.65392,-87.5501,3,14,trauma
41.74892,-87.5601,3,14,trauma
41.75392,-87.5601,3,14,trauma
41.75892,-87.5601,3,14,trauma
41.76392,-87.5601,3,14,trauma
41.64892,-87.5551,3,14,trauma
41.65892,-87.5501,3,14,trauma
41.73892,-87.5601,3,14,trauma
41.75892,-87.5651,3,14,trauma
41.66392,-87.5651,3,14,trauma
41.76392,-87.5751,3,14,trauma
41.76892,-87.5751,3,14,trauma
41.77392,-87.5751,3,14,trauma
41.77892,-87.5751,3,14,trauma
41.64892,-87.5701,3,14,trauma
41.65392,-87.5701,3,14,trauma
41.74392,-87.5701,3,14,trauma
41.74892,-87.5701,3,14,trauma
41.75392,-87.5701,3,14,trauma
41.75892,-87.5701,3,14,trauma
41.76392,-87.5701,3,14,trauma
41.76892,-87.5701,3,14,trauma
41.77392,-87.5701,3,14,trauma
41.64892,-87.5651,3,14,trauma
41.65392,-87.5651,3,14,trauma
41.65892,-87.5651,3,14,trauma
41.66892,-87.5651,3,14,trauma
41.73392,-87.5651,3,14,trauma
41.73892,-87.5651,3,14,trauma
41.74392,-87.5651,3,14,trauma
41.74892,-87.5651,3,14,trauma
41.75392,-87.5651,3,14,trauma
41.76392,-87.5651,3,14,trauma
41.72392,-87.5651,3,14,trauma
41.73392,-87.5701,3,14,trauma
41.75392,-87.5751,3,14,trauma
41.76392,-87.5801,3,14,trauma
41.74892,-87.5851,3,14,trauma
41.75392,-87.5851,3,14,trauma
41.75892,-87.5851,3,14,trauma
41.72892,-87.5801,3,14,trauma
41.73392,-87.5801,3,14,trauma
41.73892,-87.5801,3,14,trauma
41.74392,-87.5801,3,14,trauma
41.74892,-87.5801,3,14,trauma
41.75392,-87.5801,3,14,trauma
41.75892,-87.5801,3,14,trauma
41.76892,-87.5801,3,14,trauma
41.70392,-87.5751,3,14,trauma
41.70892,-87.5751,3,14,trauma
41.71392,-87.5751,3,14,trauma
41.71892,-87.5751,3,14,trauma
41.72392,-87.5751,3,14,trauma
41.72892,-87.5751,3,14,trauma
41.73392,-87.5751,3,14,trauma
41.73892,-87.5751,3,14,trauma
41.74392,-87.5751,3,14,trauma
41.74892,-87.5751,3,14,trauma
41.75892,-87.5751,3,14,trauma
41.70892,-87.5701,3,14,trauma
41.71392,-87.5701,3,14,trauma
41.71892,-87.5701,3,14,trauma
41.72392,-87.5701,3,14,trauma
41.72892,-87.5701,3,14,trauma
