Name;Address
220;7400 S. Colfax Ave. Chicago, IL
221;8500 S. Oglesby Ave. Chicago, IL
222;1 E. 120th Pl. Chicago, IL
223;9100 S. Justine St. Chicago, IL
224;1100 W. 111th Pl. Chicago, IL
225;1800 N. Pulaski Rd. Chicago, IL
226;1 S. Parkside Ave. Chicago, IL
227;1200 S. Lawndale Ave. Chicago, IL
228;800 S. Lawndale Ave. Chicago, IL
229;200 W. 94th St. Chicago, IL
230;100 S. Springfield Ave. Chicago, IL
231;1300 W. 90th St. Chicago, IL
232;1000 W. Wilson Ave. Chicago, IL
233;6200 S. Ashland Ave. Chicago, IL
234;6700 S. Sangamon St. Chicago, IL
235;3600 S. Marshfield Ave. Chicago, IL
236;4000 W. Wilcox St. Chicago, IL
237;9100 S. Commercial Ave. Chicago, IL
238;3300 W. Harrison St. Chicago, IL
239;6200 S. State St. Chicago, IL
240;1600 W. 59th St. Chicago, IL
241;8200 S. Avalon Ave. Chicago, IL
242;7900 S. Avalon Ave. Chicago, IL
243;5100 S. Winchester Ave. Chicago, IL
244;3800 S. Halsted St. Chicago, IL
245;11700 S. Hale Ave. Chicago, IL
246;1100 N. Orleans St. Chicago, IL
247;12200 S. Aberdeen St. Chicago, IL
248;6400 S. Morgan St. Chicago, IL
249;10500 S. La Salle St. Chicago, IL
250;5700 S. Princeton Ave. Chicago, IL
251;6600 S. Rhodes Ave. Chicago, IL
252;7500 S. Union Ave. Chicago, IL
253;5100 S. Calumet Ave. Chicago, IL
254;1400 N. Damen Ave. Chicago, IL
255;5500 S. Mozart St. Chicago, IL
256;8300 S. Baltimore Ave. Chicago, IL
257;300 E. 134th St. Chicago, IL
258;10200 S. Oglesby Ave. Chicago, IL
259;100 W. 104th St. Chicago, IL
260;1500 N. Milwaukee Ave. Chicago, IL
261;8000 S. Woodlawn Ave. Chicago, IL
262;6000 S. King Dr. Chicago, IL
263;7700 S. Sangamon St. Chicago, IL
264;3600 W. Augusta Blvd. Chicago, IL
265;7900 S. Wood St. Chicago, IL
266;6900 S. Vernon Ave. Chicago, IL
267;2200 E. 71st St. Chicago, IL
268;6600 S. Honore St. Chicago, IL
269;6000 S. Halsted St. Chicago, IL
270;1200 W. Washburne Ave. Chicago, IL
271;1200 S. Kedvale Ave. Chicago, IL
272;7200 S. Wentworth Ave. Chicago, IL
273;7000 S. Stony Island Ave. Chicago, IL
274;900 W. 70th St. Chicago, IL
275;600 E. 62nd St. Chicago, IL
276;4500 S. Woodlawn Ave. Chicago, IL
277;400 S. Central Ave. Chicago, IL
278;11000 S. Vernon Ave. Chicago, IL
279;11700 S. Morgan St. Chicago, IL
280;7300 S. Dorchester Ave. Chicago, IL
281;600 N. Springfield Ave. Chicago, IL
282;6700 S. Chappel Ave. Chicago, IL
283;6700 S. Chappel Ave. Chicago, IL
284;6700 S. Chappel Ave. Chicago, IL
285;8900 S. May St. Chicago, IL
286;4400 W. Adams St. Chicago, IL
287;300 S. Cicero Ave. Chicago, IL
288;800 E. 82nd St. Chicago, IL
289;800 E. 82nd St. Chicago, IL
290;10500 S. Lafayette Ave. Chicago, IL
291;10500 S. Lafayette Ave. Chicago, IL
292;1900 W. Ogden Ave. Chicago, IL
293;8300 S. Ellis Ave. Chicago, IL
294;600 W. 89th St. Chicago, IL
295;3700 W. Lawrence Ave. Chicago, IL
296;1200 W. 72nd Pl. Chicago, IL
297;1500 S. Christiana Ave. Chicago, IL
298;5300 W. Adams St. Chicago, IL
299;2600 N. Sawyer Ave. Chicago, IL
300;12100 S. Union Ave. Chicago, IL
301;8600 S. Morgan St. Chicago, IL
302;2300 N. Menard Ave. Chicago, IL
303;4200 W. West End Ave. Chicago, IL
304;6500 S. Hermitage Ave. Chicago, IL
305;3300 W. Van Buren St. Chicago, IL
306;6500 S. Bishop St. Chicago, IL
307;6000 S. Talman Ave. Chicago, IL
308;1400 W. 73rd Pl. Chicago, IL
309;1400 W. 73rd Pl. Chicago, IL
310;8700 S. Loomis St. Chicago, IL
311;5900 S. Winchester Ave. Chicago, IL
312;2200 S. Oakley Ave. Chicago, IL
313;4200 W. Lake St. Chicago, IL
314;800 W. 59th St. Chicago, IL
315;8200 S. Drexel Blvd. Chicago, IL
316;6600 S. Stony Island Ave. Chicago, IL
317;3000 S. Karlov Ave. Chicago, IL
318;1600 W. 44th St. Chicago, IL
319;4800 N. Lincoln Ave. Chicago, IL
320;2400 E. 100th St. Chicago, IL
321;2700 E. 80th St. Chicago, IL
322;2900 W. Jackson Blvd. Chicago, IL
323;7500 N. Greenview Ave. Chicago, IL
324;3100 W. Arthington St. Chicago, IL
325;11100 S. Vernon Ave. Chicago, IL
326;6100 N. Broadway Chicago, IL
327;11300 S. Edbrooke Ave. Chicago, IL
328;11600 S. Bishop St. Chicago, IL
329;5700 W. Bloomingdale Ave. Chicago, IL
330;300 W. 60th Pl. Chicago, IL
331;1700 E. 87th St. Chicago, IL
332;11200 S. Ada St. Chicago, IL
333;7000 S. Paxton Ave. Chicago, IL
334;5400 S. Bishop St. Chicago, IL
335;1900 N. Spaulding Ave. Chicago, IL
336;1 E. 102nd Pl. Chicago, IL
337;300 N. Central Ave. Chicago, IL
338;700 E. 67th St. Chicago, IL
339;4300 W. Cullerton St. Chicago, IL
340;8200 S. Champlain Ave. Chicago, IL
341;2600 S. Trumbull Ave. Chicago, IL
342;5300 S. Talman Ave. Chicago, IL
343;6700 S. East End Ave. Chicago, IL
344;7000 S. East End Ave. Chicago, IL
345;7700 S. Stewart Ave. Chicago, IL
346;5600 W. Chicago Ave. Chicago, IL
347;2800 N. Talman Ave. Chicago, IL
348;4800 W. Deming Pl. Chicago, IL
349;7900 S. Lafayette Ave. Chicago, IL
350;3400 W. 72nd St. Chicago, IL
351;11700 S. Eggleston Ave. Chicago, IL
352;2300 N. Ridgeway Ave. Chicago, IL
353;1200 W. 73rd Pl. Chicago, IL
354;700 S. Kilbourn Ave. Chicago, IL
355;1600 S. Central Park Ave. Chicago, IL
356;5900 W. Midway Park Chicago, IL
357;4500 S. Indiana Ave. Chicago, IL
358;1300 W. Cermak Rd. Chicago, IL
359;3700 S. Wells St. Chicago, IL
360;7100 S. Vincennes Ave. Chicago, IL
