,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
288,"800 E. 82nd St. Chicago, IL",41.7458043,-87.605008," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.605008,41.7458043,0</coordinates></Point></Placemark>"
289,"800 E. 82nd St. Chicago, IL",41.7458043,-87.605008," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.605008,41.7458043,0</coordinates></Point></Placemark>"
290,"10500 S. Lafayette Ave. Chicago, IL",41.703352,-87.624929," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.624929,41.703352,0</coordinates></Point></Placemark>"
291,"10500 S. Lafayette Ave. Chicago, IL",41.703352,-87.624929," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.624929,41.703352,0</coordinates></Point></Placemark>"
292,"1900 W. Ogden Ave. Chicago, IL",41.8744285,-87.6744446," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6744446,41.8744285,0</coordinates></Point></Placemark>"
293,"8300 S. Ellis Ave. Chicago, IL",41.743161,-87.599649," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.599649,41.743161,0</coordinates></Point></Placemark>"
294,"600 W. 89th St. Chicago, IL",41.7325823,-87.6386545," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6386545,41.7325823,0</coordinates></Point></Placemark>"
295,"3700 W. Lawrence Ave. Chicago, IL",41.968589,-87.720866," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.720866,41.968589,0</coordinates></Point></Placemark>"
296,"1200 W. 72nd Pl. Chicago, IL",41.7623367,-87.6540566," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6540566,41.7623367,0</coordinates></Point></Placemark>"
297,"1500 S. Christiana Ave. Chicago, IL",41.8608558,-87.7091765," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7091765,41.8608558,0</coordinates></Point></Placemark>"
298,"5300 W. Adams St. Chicago, IL",41.878701,-87.757887," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.757887,41.878701,0</coordinates></Point></Placemark>"
299,"2600 N. Sawyer Ave. Chicago, IL",41.928513,-87.709773," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.709773,41.928513,0</coordinates></Point></Placemark>"
300,"12100 S. Union Ave. Chicago, IL",41.6740432,-87.6395465," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6395465,41.6740432,0</coordinates></Point></Placemark>"
301,"8600 S. Morgan St. Chicago, IL",41.73769,-87.648881," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.648881,41.73769,0</coordinates></Point></Placemark>"
302,"2300 N. Menard Ave. Chicago, IL",41.922212,-87.771124," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.771124,41.922212,0</coordinates></Point></Placemark>"
303,"4200 W. West End Ave. Chicago, IL",41.8833081,-87.7307566," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7307566,41.8833081,0</coordinates></Point></Placemark>"
304,"6500 S. Hermitage Ave. Chicago, IL",41.775623,-87.668124," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.668124,41.775623,0</coordinates></Point></Placemark>"
305,"3300 W. Van Buren St. Chicago, IL",41.875704,-87.708574," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.708574,41.875704,0</coordinates></Point></Placemark>"
306,"6500 S. Bishop St. Chicago, IL",41.775753,-87.660808," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.660808,41.775753,0</coordinates></Point></Placemark>"
307,"6000 S. Talman Ave. Chicago, IL",41.784474,-87.690234," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.690234,41.784474,0</coordinates></Point></Placemark>"
308,"1400 W. 73rd Pl. Chicago, IL",41.760688,-87.659023," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.659023,41.760688,0</coordinates></Point></Placemark>"
309,"1400 W. 73rd Pl. Chicago, IL",41.760688,-87.659023," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.659023,41.760688,0</coordinates></Point></Placemark>"
310,"8700 S. Loomis St. Chicago, IL",41.735861,-87.6582229," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6582229,41.735861,0</coordinates></Point></Placemark>"
311,"5900 S. Winchester Ave. Chicago, IL",41.7866139,-87.6728932," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6728932,41.7866139,0</coordinates></Point></Placemark>"
312,"2200 S. Oakley Ave. Chicago, IL",41.852062,-87.6831873," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6831873,41.852062,0</coordinates></Point></Placemark>"
313,"4200 W. Lake St. Chicago, IL",41.896286,-87.885353," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.885353,41.896286,0</coordinates></Point></Placemark>"
314,"800 W. 59th St. Chicago, IL",41.787048,-87.6449799," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6449799,41.787048,0</coordinates></Point></Placemark>"
315,"8200 S. Drexel Blvd. Chicago, IL",41.7976879,-87.6038793," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6038793,41.7976879,0</coordinates></Point></Placemark>"
316,"6600 S. Stony Island Ave. Chicago, IL",41.774827,-87.586693," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.586693,41.774827,0</coordinates></Point></Placemark>"
317,"3000 S. Karlov Ave. Chicago, IL",41.8385589,-87.727164," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.727164,41.8385589,0</coordinates></Point></Placemark>"
318,"1600 W. 44th St. Chicago, IL",41.8140585,-87.6651719," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6651719,41.8140585,0</coordinates></Point></Placemark>"
319,"4800 N. Lincoln Ave. Chicago, IL",41.9697089,-87.6892291," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6892291,41.9697089,0</coordinates></Point></Placemark>"
320,"2400 E. 100th St. Chicago, IL",41.7135127,-87.56578," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.56578,41.7135127,0</coordinates></Point></Placemark>"
321,"2700 E. 80th St. Chicago, IL",41.7500063,-87.5589127," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5589127,41.7500063,0</coordinates></Point></Placemark>"
322,"2900 W. Jackson Blvd. Chicago, IL",41.8774518,-87.6992333," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6992333,41.8774518,0</coordinates></Point></Placemark>"
323,"7500 N. Greenview Ave. Chicago, IL",42.0181646,-87.6682189," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6682189,42.0181646,0</coordinates></Point></Placemark>"
324,"3100 W. Arthington St. Chicago, IL",41.8700752,-87.7033531," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7033531,41.8700752,0</coordinates></Point></Placemark>"
325,"11100 S. Vernon Ave. Chicago, IL",41.6927347,-87.6121821," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6121821,41.6927347,0</coordinates></Point></Placemark>"
326,"6100 N. Broadway Chicago, IL",41.9927377,-87.6603861," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6603861,41.9927377,0</coordinates></Point></Placemark>"
327,"11300 S. Edbrooke Ave. Chicago, IL",41.6889716,-87.6195536," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6195536,41.6889716,0</coordinates></Point></Placemark>"
328,"11600 S. Bishop St. Chicago, IL",41.682917,-87.658244," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.658244,41.682917,0</coordinates></Point></Placemark>"
329,"5700 W. Bloomingdale Ave. Chicago, IL",41.9126478,-87.7680428," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7680428,41.9126478,0</coordinates></Point></Placemark>"
330,"300 W. 60th Pl. Chicago, IL",41.7845073,-87.6327627," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6327627,41.7845073,0</coordinates></Point></Placemark>"
331,"1700 E. 87th St. Chicago, IL",41.737217,-87.582588," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.582588,41.737217,0</coordinates></Point></Placemark>"
332,"11200 S. Ada St. Chicago, IL",41.6893467,-87.6556852," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6556852,41.6893467,0</coordinates></Point></Placemark>"
333,"7000 S. Paxton Ave. Chicago, IL",41.767779,-87.571791," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.571791,41.767779,0</coordinates></Point></Placemark>"
334,"5400 S. Bishop St. Chicago, IL",41.795769,-87.66133," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.66133,41.795769,0</coordinates></Point></Placemark>"
335,"1900 N. Spaulding Ave. Chicago, IL",41.9155396,-87.7102306," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7102306,41.9155396,0</coordinates></Point></Placemark>"
336,"1 E. 102nd Pl. Chicago, IL",41.7080574,-87.6233592," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6233592,41.7080574,0</coordinates></Point></Placemark>"
337,"300 N. Central Ave. Chicago, IL",41.885933,-87.765465," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.765465,41.885933,0</coordinates></Point></Placemark>"
338,"700 E. 67th St. Chicago, IL",41.773335,-87.608063," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.608063,41.773335,0</coordinates></Point></Placemark>"
339,"4300 W. Cullerton St. Chicago, IL",41.8545609,-87.732324," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.732324,41.8545609,0</coordinates></Point></Placemark>"
340,"8200 S. Champlain Ave. Chicago, IL",41.7457143,-87.6087867," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6087867,41.7457143,0</coordinates></Point></Placemark>"
341,"2600 S. Trumbull Ave. Chicago, IL",41.844273,-87.711463," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.711463,41.844273,0</coordinates></Point></Placemark>"
342,"5300 S. Talman Ave. Chicago, IL",41.797258,-87.69059," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.69059,41.797258,0</coordinates></Point></Placemark>"
343,"6700 S. East End Ave. Chicago, IL",41.7733303,-87.5838774," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5838774,41.7733303,0</coordinates></Point></Placemark>"
344,"7000 S. East End Ave. Chicago, IL",41.767713,-87.5832959," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.5832959,41.767713,0</coordinates></Point></Placemark>"
345,"7700 S. Stewart Ave. Chicago, IL",41.754254,-87.634742," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.634742,41.754254,0</coordinates></Point></Placemark>"
346,"5600 W. Chicago Ave. Chicago, IL",41.895085,-87.7657289," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7657289,41.895085,0</coordinates></Point></Placemark>"
347,"2800 N. Talman Ave. Chicago, IL",41.93291,-87.69416," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.69416,41.93291,0</coordinates></Point></Placemark>"
348,"4800 W. Deming Pl. Chicago, IL",41.9270087,-87.7464776," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7464776,41.9270087,0</coordinates></Point></Placemark>"
349,"7900 S. Lafayette Ave. Chicago, IL",41.750443,-87.6264384," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6264384,41.750443,0</coordinates></Point></Placemark>"
350,"3400 W. 72nd St. Chicago, IL",41.762748,-87.707832," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.707832,41.762748,0</coordinates></Point></Placemark>"
351,"11700 S. Eggleston Ave. Chicago, IL",41.6815146,-87.6335951," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6335951,41.6815146,0</coordinates></Point></Placemark>"
352,"2300 N. Ridgeway Ave. Chicago, IL",41.9227413,-87.7205779," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7205779,41.9227413,0</coordinates></Point></Placemark>"
353,"1200 W. 73rd Pl. Chicago, IL",41.7605184,-87.6540076," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6540076,41.7605184,0</coordinates></Point></Placemark>"
354,"700 S. Kilbourn Ave. Chicago, IL",41.8728824,-87.7378901," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7378901,41.8728824,0</coordinates></Point></Placemark>"
355,"1600 S. Central Park Ave. Chicago, IL",41.8589512,-87.7152143," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7152143,41.8589512,0</coordinates></Point></Placemark>"
356,"5900 W. Midway Park Chicago, IL",41.8890385,-87.772096," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.772096,41.8890385,0</coordinates></Point></Placemark>"
357,"4500 S. Indiana Ave. Chicago, IL",41.8129459,-87.621775," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.621775,41.8129459,0</coordinates></Point></Placemark>"
358,"1300 W. Cermak Rd. Chicago, IL",41.8527289,-87.658902," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.658902,41.8527289,0</coordinates></Point></Placemark>"
359,"3700 S. Wells St. Chicago, IL",41.8273032,-87.6326268," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6326268,41.8273032,0</coordinates></Point></Placemark>"
360,"7100 S. Vincennes Ave. Chicago, IL",41.7652892,-87.6280687," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6280687,41.7652892,0</coordinates></Point></Placemark>"
