,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
55,"2800 S. Spaulding Ave. Chicago, IL",41.840706,-87.707703," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.707703,41.840706,0</coordinates></Point></Placemark>"
56,"600 S. Sacramento Blvd. Chicago, IL",41.8737346,-87.701022," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.701022,41.8737346,0</coordinates></Point></Placemark>"
57,"7800 S. Muskegon Ave. Chicago, IL",41.753519,-87.55594," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.55594,41.753519,0</coordinates></Point></Placemark>"
58,"7700 S. Carpenter St. Chicago, IL",41.754058,-87.650532," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.650532,41.754058,0</coordinates></Point></Placemark>"
59,"1800 N. Francisco Ave. Chicago, IL",41.9139705,-87.6992175," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6992175,41.9139705,0</coordinates></Point></Placemark>"
60,"1300 W. Hastings St. Chicago, IL",41.8643068,-87.6588126," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6588126,41.8643068,0</coordinates></Point></Placemark>"
61,"7400 S. Eberhart Ave. Chicago, IL",41.760101,-87.613037," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.613037,41.760101,0</coordinates></Point></Placemark>"
62,"100 W. 59th St. Chicago, IL",41.7873261,-87.6276365," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6276365,41.7873261,0</coordinates></Point></Placemark>"
63,"1400 W. 80th St. Chicago, IL",41.7486211,-87.6585424," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6585424,41.7486211,0</coordinates></Point></Placemark>"
64,"8000 S. Manistee Ave. Chicago, IL",41.749893,-87.55804," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.55804,41.749893,0</coordinates></Point></Placemark>"
65,"2200 S. Leavitt St. Chicago, IL",41.8534316,-87.6808992," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6808992,41.8534316,0</coordinates></Point></Placemark>"
66,"7400 S. Dorchester Ave. Chicago, IL",41.76041,-87.591179," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.591179,41.76041,0</coordinates></Point></Placemark>"
67,"12000 S. Normal Ave. Chicago, IL",41.675952,-87.6349649," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6349649,41.675952,0</coordinates></Point></Placemark>"
68,"8700 S. Burley Ave. Chicago, IL",41.73648,-87.546567," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.546567,41.73648,0</coordinates></Point></Placemark>"
69,"3300 W. Beach Ave. Chicago, IL",41.907607,-87.709573," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.709573,41.907607,0</coordinates></Point></Placemark>"
