name,latitude,longitude,weight,type
513,41.94392,-87.7501,1187,trauma
514,41.94892,-87.7501,1199,trauma
515,41.95392,-87.7501,1040,trauma
516,41.95892,-87.7501,988,trauma
517,41.96392,-87.7501,931,trauma
518,41.96892,-87.7501,1036,trauma
519,41.97392,-87.7501,1011,trauma
520,41.97892,-87.7501,1115,trauma
521,41.98392,-87.7501,1047,trauma
522,41.98892,-87.7501,1194,trauma
523,41.99392,-87.7501,1222,trauma
524,41.77892,-87.7451,1170,trauma
525,41.78392,-87.7451,1187,trauma
526,41.78892,-87.7451,1125,trauma
527,41.79392,-87.7451,1060,trauma
528,41.79892,-87.7451,840,trauma
529,41.80392,-87.7451,790,trauma
530,41.80892,-87.7451,730,trauma
531,41.81392,-87.7451,641,trauma
532,41.86892,-87.7451,407,trauma
533,41.87392,-87.7451,391,trauma
534,41.87892,-87.7451,443,trauma
535,41.88392,-87.7451,516,trauma
536,41.88892,-87.7451,612,trauma
537,41.89392,-87.7451,652,trauma
538,41.89892,-87.7451,695,trauma
539,41.90392,-87.7451,890,trauma
540,41.90892,-87.7451,933,trauma
541,41.91392,-87.7451,875,trauma
542,41.91892,-87.7451,1012,trauma
543,41.92392,-87.7451,1056,trauma
544,41.92892,-87.7451,1085,trauma
545,41.93392,-87.7451,1087,trauma
546,41.93892,-87.7451,1009,trauma
547,41.94392,-87.7451,1117,trauma
548,41.94892,-87.7451,1038,trauma
549,41.95392,-87.7451,1027,trauma
550,41.95892,-87.7451,939,trauma
551,41.96392,-87.7451,970,trauma
552,41.96892,-87.7451,1021,trauma
553,41.97392,-87.7451,1126,trauma
554,41.97892,-87.7451,1176,trauma
555,41.98392,-87.7451,1314,trauma
556,41.98892,-87.7451,1251,trauma
557,41.99392,-87.7451,1226,trauma
558,41.73892,-87.7401,1445,trauma
559,41.74392,-87.7401,1405,trauma
560,41.74892,-87.7401,1389,trauma
561,41.75392,-87.7401,1288,trauma
562,41.75892,-87.7401,1205,trauma
563,41.76392,-87.7401,1151,trauma
564,41.76892,-87.7401,1264,trauma
565,41.77392,-87.7401,1127,trauma
566,41.77892,-87.7401,1085,trauma
567,41.78392,-87.7401,1049,trauma
568,41.78892,-87.7401,1043,trauma
569,41.79392,-87.7401,910,trauma
570,41.79892,-87.7401,839,trauma
571,41.80392,-87.7401,797,trauma
572,41.80892,-87.7401,718,trauma
573,41.81392,-87.7401,654,trauma
574,41.81892,-87.7401,630,trauma
575,41.86892,-87.7401,373,trauma
576,41.87392,-87.7401,409,trauma
577,41.87892,-87.7401,440,trauma
578,41.88392,-87.7401,508,trauma
579,41.88892,-87.7401,545,trauma
580,41.89392,-87.7401,586,trauma
581,41.89892,-87.7401,778,trauma
582,41.90392,-87.7401,742,trauma
583,41.90892,-87.7401,893,trauma
584,41.91392,-87.7401,921,trauma
585,41.91892,-87.7401,1051,trauma
586,41.92392,-87.7401,989,trauma
587,41.92892,-87.7401,1071,trauma
588,41.93392,-87.7401,1043,trauma
589,41.93892,-87.7401,970,trauma
590,41.94392,-87.7401,1054,trauma
591,41.94892,-87.7401,991,trauma
592,41.95392,-87.7401,931,trauma
593,41.95892,-87.7401,764,trauma
594,41.96392,-87.7401,978,trauma
595,41.96892,-87.7401,1151,trauma
596,41.97392,-87.7401,1124,trauma
597,41.97892,-87.7401,1377,trauma
598,41.98392,-87.7401,1317,trauma
599,41.98892,-87.7401,1325,trauma
600,41.99392,-87.7401,1295,trauma
601,41.68392,-87.7351,1840,trauma
602,41.68892,-87.7351,1824,trauma
603,41.73892,-87.7351,1488,trauma
604,41.74392,-87.7351,1466,trauma
605,41.74892,-87.7351,1404,trauma
606,41.75392,-87.7351,1342,trauma
607,41.75892,-87.7351,1349,trauma
608,41.76392,-87.7351,1233,trauma
609,41.76892,-87.7351,1243,trauma
610,41.77392,-87.7351,1178,trauma
611,41.77892,-87.7351,1124,trauma
612,41.78392,-87.7351,1038,trauma
613,41.78892,-87.7351,988,trauma
614,41.79392,-87.7351,950,trauma
615,41.79892,-87.7351,878,trauma
616,41.80392,-87.7351,813,trauma
617,41.80892,-87.7351,795,trauma
618,41.81392,-87.7351,723,trauma
619,41.81892,-87.7351,523,trauma
620,41.82392,-87.7351,750,trauma
621,41.82892,-87.7351,714,trauma
622,41.83392,-87.7351,602,trauma
623,41.83892,-87.7351,556,trauma
624,41.84392,-87.7351,462,trauma
625,41.84892,-87.7351,450,trauma
626,41.85392,-87.7351,432,trauma
627,41.85892,-87.7351,418,trauma
628,41.86392,-87.7351,385,trauma
629,41.86892,-87.7351,332,trauma
630,41.87392,-87.7351,298,trauma
631,41.87892,-87.7351,453,trauma
632,41.88392,-87.7351,438,trauma
633,41.88892,-87.7351,564,trauma
634,41.89392,-87.7351,645,trauma
635,41.89892,-87.7351,731,trauma
636,41.90392,-87.7351,780,trauma
637,41.90892,-87.7351,877,trauma
638,41.91392,-87.7351,1002,trauma
639,41.91892,-87.7351,1004,trauma
640,41.92392,-87.7351,991,trauma
641,41.92892,-87.7351,1019,trauma
642,41.93392,-87.7351,1000,trauma
643,41.93892,-87.7351,931,trauma
644,41.94392,-87.7351,1001,trauma
645,41.94892,-87.7351,929,trauma
646,41.95392,-87.7351,913,trauma
647,41.95892,-87.7351,909,trauma
648,41.96392,-87.7351,987,trauma
649,41.96892,-87.7351,1204,trauma
650,41.97392,-87.7351,1146,trauma
651,41.97892,-87.7351,1316,trauma
652,41.98392,-87.7351,1311,trauma
653,41.98892,-87.7351,1343,trauma
654,41.99392,-87.7351,1353,trauma
655,41.68392,-87.7301,1817,trauma
656,41.68892,-87.7301,1864,trauma
657,41.73892,-87.7301,1495,trauma
658,41.74392,-87.7301,1438,trauma
659,41.74892,-87.7301,1376,trauma
660,41.75392,-87.7301,1310,trauma
661,41.75892,-87.7301,1329,trauma
662,41.76392,-87.7301,1256,trauma
663,41.76892,-87.7301,1205,trauma
664,41.77392,-87.7301,1182,trauma
665,41.77892,-87.7301,1084,trauma
666,41.78392,-87.7301,1016,trauma
667,41.78892,-87.7301,1008,trauma
668,41.79392,-87.7301,947,trauma
669,41.79892,-87.7301,834,trauma
670,41.80392,-87.7301,801,trauma
671,41.80892,-87.7301,766,trauma
672,41.81392,-87.7301,692,trauma
673,41.81892,-87.7301,652,trauma
674,41.82392,-87.7301,711,trauma
675,41.82892,-87.7301,677,trauma
676,41.83392,-87.7301,623,trauma
677,41.83892,-87.7301,556,trauma
678,41.84392,-87.7301,459,trauma
679,41.84892,-87.7301,360,trauma
680,41.85392,-87.7301,430,trauma
681,41.85892,-87.7301,376,trauma
682,41.86392,-87.7301,431,trauma
683,41.86892,-87.7301,409,trauma
684,41.87392,-87.7301,340,trauma
685,41.87892,-87.7301,429,trauma
686,41.88392,-87.7301,527,trauma
687,41.88892,-87.7301,636,trauma
688,41.89392,-87.7301,599,trauma
689,41.89892,-87.7301,684,trauma
690,41.90392,-87.7301,717,trauma
691,41.90892,-87.7301,831,trauma
692,41.91392,-87.7301,921,trauma
693,41.91892,-87.7301,999,trauma
694,41.92392,-87.7301,938,trauma
695,41.92892,-87.7301,912,trauma
696,41.93392,-87.7301,999,trauma
697,41.93892,-87.7301,883,trauma
698,41.94392,-87.7301,945,trauma
699,41.94892,-87.7301,968,trauma
700,41.95392,-87.7301,1005,trauma
701,41.95892,-87.7301,932,trauma
702,41.96392,-87.7301,1058,trauma
703,41.96892,-87.7301,1125,trauma
704,41.97392,-87.7301,1173,trauma
705,41.97892,-87.7301,1272,trauma
706,41.98392,-87.7301,1281,trauma
